"","x"
"542","Smc"
"543","eL5-3"
"544","Smc"
"545","eL5-2"
"546","Endo"
"547","eL5-3"
"548","eL5-3"
"549","L5-1"
"550","Lhx6"
"551","L5-1"
"552","eL5-3"
"553","L5-1"
"554","eL5-3"
"555","eL5-3"
"556","eL5-3"
"557","Smc"
"558","eL5-3"
"559","eL5-3"
"560","eL6-1"
"561","eL6-1"
"562","L5-1"
"563","eL5-3"
"564","eL6-1"
"565","L5-1"
"566","eL5-3"
"567","SST"
"568","L5-1"
"569","Astro"
"570","L5-1"
"571","eL5-3"
"572","Astro"
"573","eL5-3"
"574","eL5-3"
"575","Reln"
"576","L5-1"
"577","L5-1"
"578","L5-1"
"579","L5-1"
"580","L5-1"
"581","L5-1"
"582","L5-1"
"583","L5-1"
"584","Smc"
"585","eL5-3"
"586","L5-1"
"587","eL6-2"
"588","eL5-3"
"589","eL5-3"
"590","Smc"
"591","L5-1"
"592","eL5-3"
"593","SST"
"594","Smc"
"595","Lhx6"
"596","eL5-3"
"597","L5-1"
"598","eL5-3"
"599","Astro"
"600","eL5-3"
"601","Lhx6"
"602","eL5-3"
"603","eL6-2"
"604","eL5-3"
"605","L5-1"
"606","NPY"
"607","Smc"
"608","eL5-3"
"609","eL5-3"
"610","eL5-3"
"611","Astro"
"612","eL5-3"
"613","eL5-3"
"614","Lhx6"
"615","eL5-3"
"616","eL2/3"
"617","Endo"
"618","eL5-3"
"619","NPY"
"620","eL6-2"
"621","eL5-3"
"622","eL5-3"
"623","eL6-2"
"624","eL5-2"
"625","Astro"
"626","eL6-1"
"627","eL5-3"
"628","eL5-3"
"629","NPY"
"630","Lhx6"
"631","Oligo"
"632","Endo"
"633","L5-1"
"634","eL6-1"
"635","Astro"
"636","Lhx6"
"637","eL6-1"
"638","eL5-2"
"639","Endo"
"640","eL5-3"
"641","eL5-3"
"642","Lhx6"
"643","eL6-1"
"644","Lhx6"
"645","SST"
"646","eL5-3"
"647","Smc"
"648","eL5-3"
"649","Lhx6"
"650","eL5-3"
"651","eL5-3"
"652","eL5-2"
"653","eL5-3"
"654","Smc"
"655","L5-1"
"656","Lhx6"
"657","Lhx6"
"658","L5-1"
"659","Astro"
"660","Smc"
"661","Lhx6"
"662","Lhx6"
"663","eL6-1"
"664","Lhx6"
"665","Lhx6"
"666","SST"
"667","L5-1"
"668","Lhx6"
"669","L5-1"
"670","L5-1"
"671","NPY"
"672","eL5-3"
"673","eL5-3"
"674","eL5-3"
"675","L5-1"
"676","eL5-2"
"677","L5-1"
"678","L5-1"
"679","Reln"
"680","Astro"
"681","L5-1"
"682","eL6-2"
"683","Astro"
"684","eL6-2"
"685","Lhx6"
"686","eL6-2"
"687","eL2/3"
"688","eL5-2"
"689","eL6-1"
"690","Lhx6"
"691","Lhx6"
"692","L5-1"
"693","eL6-1"
"694","L5-1"
"695","eL6-2"
"696","L5-1"
"697","eL6-1"
"698","Lhx6"
"699","eL6-1"
"700","L5-1"
"701","eL6-1"
"702","L5-1"
"703","eL6-1"
"704","eL6-1"
"705","L5-1"
"706","NPY"
"707","Oligo"
"708","eL6-1"
"709","eL6-1"
"710","eL6-1"
"711","eL6-1"
"712","eL6-1"
"713","eL6-1"
"714","eL6-1"
"715","eL6-1"
"716","eL5-3"
"717","eL6-1"
"718","eL5-3"
"719","eL5-3"
"720","eL6-2"
"721","L5-1"
"722","eL6-1"
"723","eL5-3"
"724","eL6-1"
"725","eL6-1"
"726","eL6-1"
"727","Astro"
"728","eL6-1"
"729","eL6-1"
"730","eL6-2"
"731","NPY"
"732","L5-1"
"733","eL6-1"
"734","eL6-1"
"735","Smc"
"736","eL6-1"
"737","Astro"
"738","L5-1"
"739","eL5-2"
"740","eL5-2"
"741","Reln"
"742","eL6-1"
"743","eL6-1"
"744","Smc"
"745","L5-1"
"746","eL5-3"
"747","eL5-3"
"748","L5-1"
"749","eL6-1"
"750","Endo"
"751","Astro"
"752","L5-1"
"753","eL6-1"
"754","eL6-1"
"755","L5-1"
"756","eL6-1"
"757","eL6-1"
"758","eL6-1"
"759","eL6-1"
"760","eL6-1"
"761","Smc"
"762","SST"
"763","eL6-1"
"764","SST"
"765","eL6-1"
"766","eL6-2"
"767","Smc"
"768","Astro"
"769","Endo"
"770","eL6-2"
"771","eL6-1"
"772","eL6-2"
"773","eL6-1"
"774","eL6-1"
"775","Oligo"
"776","eL6-1"
"777","eL6-1"
"778","Endo"
"779","eL6-1"
"780","eL6-2"
"781","eL6-1"
"782","eL6-1"
"783","eL6-1"
"784","L5-1"
"785","eL6-1"
"786","Oligo"
"787","eL6-2"
"788","Astro"
"789","eL6-1"
"790","eL6-1"
"791","L5-1"
"792","eL6-1"
"793","eL6-2"
"794","VIP"
"795","Astro"
"796","eL6-1"
"797","eL6-1"
"798","eL6-1"
"799","eL6-1"
"800","eL6-1"
"801","eL6-1"
"802","eL6-1"
"803","L5-1"
"804","L5-1"
"805","eL6-1"
"806","eL6-2"
"807","eL6-2"
"808","eL6-1"
"809","eL6-2"
"810","Endo"
"811","eL6-2"
"812","eL6-1"
"813","eL6-1"
"814","eL6-2"
"815","eL6-1"
"816","eL6-1"
"817","eL6-1"
"818","Astro"
"819","Oligo"
"820","eL6-1"
"821","L5-1"
"822","eL6-1"
"823","eL6-1"
"824","L5-1"
"825","eL6-2"
"826","eL6-1"
"827","eL6-1"
"828","Astro"
"829","eL6-1"
"830","eL6-2"
"831","eL6-2"
"832","Astro"
"833","eL5-3"
"834","eL6-2"
"835","eL6-2"
"836","eL6-1"
"837","eL6-1"
"838","eL6-1"
"839","Astro"
"840","eL6-2"
"841","eL6-1"
"842","eL6-1"
"843","eL6-1"
"844","eL6-1"
"845","eL6-2"
"846","eL6-2"
"847","Oligo"
"848","eL6-1"
"849","eL6-1"
"850","eL6-2"
"851","eL6-2"
"852","eL6-1"
"853","Reln"
"854","eL6-1"
"855","Oligo"
"856","eL6-1"
"857","eL6-1"
"858","eL6-1"
"859","eL6-1"
"860","eL6-2"
"861","eL6-1"
"862","Smc"
"863","eL6-1"
"864","eL6-1"
"865","eL6-2"
"866","eL6-1"
"867","eL6-2"
"868","eL6-2"
"869","eL6-1"
"870","eL6-2"
"871","eL6-2"
"872","eL6-2"
"873","eL6-1"
"874","L5-1"
"875","eL6-1"
"876","eL6-1"
"877","eL6-1"
"878","Smc"
"879","eL6-1"
"880","eL6-2"
"881","eL6-1"
"882","eL6-2"
"883","eL6-1"
"884","eL6-1"
"885","eL6-1"
"886","eL6-2"
"887","eL6-1"
"888","eL6-1"
"889","eL6-1"
"890","SST"
"891","eL6-1"
"892","eL6-1"
"893","eL6-1"
"894","Smc"
"895","SST"
"896","eL6-1"
"897","eL5-3"
"898","eL6-2"
"899","eL6-2"
"900","Oligo"
"901","Oligo"
"902","Smc"
"903","eL6-1"
"904","eL6-2"
"905","Smc"
"906","Astro"
"907","L5-1"
"908","eL5-3"
"909","Oligo"
"910","Oligo"
"911","eL6-1"
"912","eL6-2"
"913","eL6-2"
"914","eL6-1"
"915","Astro"
"916","Oligo"
"917","eL6-2"
"918","eL6-2"
"919","Smc"
"920","eL6-1"
"921","eL5-3"
"922","Astro"
"923","L5-1"
"924","eL6-2"
"925","Oligo"
"926","eL6-2"
"927","eL6-1"
"928","eL6-1"
"929","eL6-1"
"930","eL6-1"
"931","Oligo"
"932","eL6-1"
"933","eL6-2"
"934","eL6-1"
"935","Oligo"
"936","eL6-2"
"937","Lhx6"
"938","Oligo"
"939","Oligo"
"940","eL6-2"
"941","eL6-1"
"942","eL6-2"
"943","eL6-1"
"944","eL6-1"
"945","eL6-1"
"946","eL6-2"
"947","eL6-2"
"948","eL6-2"
"949","eL6-1"
"950","Smc"
"951","Astro"
"952","eL6-2"
"953","eL6-2"
"954","eL6-2"
"955","eL6-2"
"956","eL6-1"
"957","eL6-2"
"958","eL6-2"
"959","eL6-1"
"960","eL6-1"
"961","eL6-2"
"962","eL6-1"
"963","eL6-1"
"964","eL6-1"
"965","eL6-2"
"966","eL6-1"
"967","eL6-2"
"968","eL6-1"
"969","Astro"
"970","Smc"
"971","eL6-2"
"972","Astro"
"973","eL6-2"
"974","SST"
"975","eL6-1"
"976","eL6-1"
"977","eL6-2"
"978","eL6-1"
"979","Smc"
"980","Oligo"
"981","Oligo"
"982","eL6-1"
"983","Oligo"
"984","eL6-2"
"985","eL6-2"
"986","Oligo"
"987","eL6-2"
"988","Oligo"
"989","eL6-2"
"990","eL6-2"
"991","Oligo"
"992","Oligo"
"993","eL6-2"
"994","Smc"
"995","Smc"
"996","eL6-2"
"997","Smc"
"998","eL6-2"
"999","Astro"
"1000","eL6-2"
"1001","NPY"
"1002","VIP"
"1003","Oligo"
"1004","eL6-2"
"1005","VIP"
"1006","eL6-2"
"1007","Astro"
"1008","Smc"
"1009","eL6-2"
"1010","Astro"
"1011","Astro"
"1012","Reln"
"1013","eL6-2"
"1014","Lhx6"
"1015","Oligo"
"1016","eL2/3"
"1017","Smc"
"1018","Oligo"
"1019","Smc"
"1020","eL6-1"
"1021","eL6-2"
"1022","Smc"
"1023","Smc"
"1024","eL6-2"
"1025","Astro"
"1026","Astro"
"1027","SST"
"1028","Smc"
"1029","Smc"
"1030","eL6-2"
"1031","Astro"
"1032","Smc"
"1033","Astro"
"1034","Astro"
"1035","eL6-2"
"1036","eL6-1"
"1037","SST"
"1038","Oligo"
"1039","eL6-2"
"1040","Reln"
"1041","eL6-1"
"1042","Smc"
"1043","Oligo"
"1044","Oligo"
"1045","Smc"
"1046","eL6-1"
"1047","L5-1"
"1048","Endo"
"1049","SST"
