"","x"
"503","Lhx6"
"504","eL6-2"
"505","eL5-3"
"506","Lhx6"
"507","L5-1"
"508","eL5-2"
"509","eL6-1"
"510","eL5-2"
"511","SST"
"512","eL5-3"
"513","eL5-3"
"514","Endo"
"515","eL5-3"
"516","eL6-1"
"517","L5-1"
"518","eL5-3"
"519","eL5-3"
"520","L5-1"
"521","SST"
"522","eL5-3"
"523","eL5-3"
"524","Smc"
"525","SST"
"526","eL5-3"
"527","Lhx6"
"528","VIP"
"529","Endo"
"530","eL5-3"
"531","eL5-3"
"532","eL6-1"
"533","Astro"
"534","eL5-3"
"535","eL5-3"
"536","Reln"
"537","eL5-3"
"538","eL5-3"
"539","eL5-3"
"540","Smc"
"541","eL6-1"
"542","eL5-3"
"543","eL6-1"
"544","L5-1"
"545","eL5-3"
"546","eL6-1"
"547","L5-1"
"548","Smc"
"549","eL6-1"
"550","eL5-3"
"551","eL6-1"
"552","Smc"
"553","eL5-3"
"554","eL5-3"
"555","SST"
"556","L5-1"
"557","Astro"
"558","Astro"
"559","L5-1"
"560","eL5-2"
"561","eL5-3"
"562","Astro"
"563","eL5-3"
"564","Astro"
"565","SST"
"566","SST"
"567","eL5-2"
"568","L5-1"
"569","NPY"
"570","eL5-2"
"571","Smc"
"572","eL5-3"
"573","eL6-2"
"574","eL5-3"
"575","eL5-3"
"576","eL5-3"
"577","eL6-1"
"578","NPY"
"579","eL5-3"
"580","eL5-3"
"581","eL6-1"
"582","Lhx6"
"583","eL6-1"
"584","eL5-3"
"585","Lhx6"
"586","eL5-2"
"587","Smc"
"588","eL5-2"
"589","Astro"
"590","eL5-2"
"591","eL6-1"
"592","eL6-1"
"593","eL5-3"
"594","L5-1"
"595","eL5-2"
"596","eL5-2"
"597","eL5-3"
"598","VIP"
"599","eL6-1"
"600","eL6-2"
"601","Astro"
"602","L5-1"
"603","eL5-2"
"604","Lhx6"
"605","eL5-3"
"606","eL6-1"
"607","eL6-1"
"608","eL6-1"
"609","eL5-3"
"610","Lhx6"
"611","L5-1"
"612","eL6-1"
"613","eL5-2"
"614","eL5-2"
"615","L5-1"
"616","L5-1"
"617","SST"
"618","eL2/3"
"619","eL5-2"
"620","L5-1"
"621","VIP"
"622","Endo"
"623","eL6-2"
"624","Astro"
"625","eL6-2"
"626","eL5-3"
"627","eL6-1"
"628","SST"
"629","NPY"
"630","Astro"
"631","eL6-1"
"632","L5-1"
"633","NPY"
"634","eL5-3"
"635","eL5-3"
"636","Oligo"
"637","eL6-2"
"638","eL5-2"
"639","Lhx6"
"640","eL6-1"
"641","eL6-1"
"642","Lhx6"
"643","eL6-1"
"644","Smc"
"645","eL6-1"
"646","eL6-1"
"647","eL5-2"
"648","eL6-1"
"649","eL5-3"
"650","eL6-1"
"651","Endo"
"652","Lhx6"
"653","eL5-3"
"654","eL6-1"
"655","SST"
"656","eL6-2"
"657","eL6-1"
"658","eL6-1"
"659","SST"
"660","Reln"
"661","eL6-1"
"662","eL6-1"
"663","NPY"
"664","eL5-2"
"665","eL6-1"
"666","Astro"
"667","Astro"
"668","eL6-1"
"669","eL5-2"
"670","eL6-1"
"671","SST"
"672","eL6-1"
"673","Endo"
"674","eL6-1"
"675","eL6-1"
"676","eL6-1"
"677","eL6-1"
"678","Oligo"
"679","Oligo"
"680","eL6-1"
"681","Endo"
"682","Smc"
"683","Oligo"
"684","eL6-1"
"685","eL6-2"
"686","eL6-1"
"687","L5-1"
"688","Astro"
"689","eL6-1"
"690","eL5-3"
"691","eL6-1"
"692","eL6-1"
"693","Astro"
"694","eL6-1"
"695","eL6-1"
"696","Lhx6"
"697","L5-1"
"698","eL6-1"
"699","eL6-1"
"700","eL6-1"
"701","eL6-1"
"702","NPY"
"703","L5-1"
"704","eL6-1"
"705","eL5-2"
"706","eL6-1"
"707","eL6-1"
"708","eL6-2"
"709","eL6-1"
"710","eL6-1"
"711","Lhx6"
"712","eL6-2"
"713","eL5-2"
"714","Smc"
"715","eL6-1"
"716","Astro"
"717","L5-1"
"718","eL6-1"
"719","eL6-2"
"720","eL6-1"
"721","L5-1"
"722","Smc"
"723","eL6-1"
"724","Smc"
"725","eL6-1"
"726","eL6-1"
"727","Endo"
"728","eL6-1"
"729","eL6-1"
"730","Oligo"
"731","eL6-1"
"732","eL6-1"
"733","eL6-1"
"734","eL6-1"
"735","eL6-1"
"736","eL6-1"
"737","eL6-1"
"738","eL5-2"
"739","eL6-1"
"740","eL6-1"
"741","L5-1"
"742","eL6-2"
"743","eL6-1"
"744","eL6-1"
"745","L5-1"
"746","eL2/3"
"747","Smc"
"748","Smc"
"749","eL6-1"
"750","eL6-1"
"751","eL6-1"
"752","eL6-1"
"753","Astro"
"754","NPY"
"755","L5-1"
"756","eL5-3"
"757","eL6-1"
"758","eL6-1"
"759","L5-1"
"760","eL6-2"
"761","eL6-1"
"762","eL6-1"
"763","eL6-1"
"764","eL6-1"
"765","eL6-2"
"766","eL6-1"
"767","eL6-1"
"768","NPY"
"769","L5-1"
"770","eL6-1"
"771","eL6-2"
"772","SST"
"773","eL6-2"
"774","L5-1"
"775","eL5-2"
"776","eL6-2"
"777","eL6-1"
"778","Oligo"
"779","eL6-1"
"780","eL6-2"
"781","eL6-2"
"782","eL2/3"
"783","L5-1"
"784","L5-1"
"785","eL5-2"
"786","eL6-1"
"787","eL6-2"
"788","eL6-1"
"789","L5-1"
"790","VIP"
"791","eL6-2"
"792","eL6-1"
"793","SST"
"794","eL6-1"
"795","Astro"
"796","eL6-1"
"797","Lhx6"
"798","eL6-1"
"799","eL6-1"
"800","eL6-2"
"801","eL6-2"
"802","Astro"
"803","eL6-1"
"804","L5-1"
"805","eL6-1"
"806","L5-1"
"807","eL6-1"
"808","eL6-2"
"809","eL6-2"
"810","eL6-1"
"811","eL6-1"
"812","eL6-1"
"813","eL6-1"
"814","eL6-1"
"815","Smc"
"816","L5-1"
"817","Astro"
"818","eL6-1"
"819","L5-1"
"820","eL6-1"
"821","Reln"
"822","eL6-2"
"823","eL6-1"
"824","eL6-1"
"825","eL6-1"
"826","eL6-2"
"827","eL6-2"
"828","L5-1"
"829","Lhx6"
"830","SST"
"831","eL6-1"
"832","eL6-1"
"833","eL6-1"
"834","Lhx6"
"835","Reln"
"836","Oligo"
"837","Oligo"
"838","eL6-1"
"839","Oligo"
"840","Endo"
"841","Astro"
"842","eL6-2"
"843","eL6-1"
"844","Astro"
"845","eL6-1"
"846","eL6-1"
"847","eL6-1"
"848","eL6-1"
"849","eL6-2"
"850","eL5-2"
"851","eL6-1"
"852","eL5-2"
"853","eL6-2"
"854","eL6-2"
"855","L5-1"
"856","eL5-2"
"857","eL6-2"
"858","Oligo"
"859","eL6-1"
"860","eL5-2"
"861","eL6-1"
"862","eL6-1"
"863","Astro"
"864","eL6-2"
"865","eL6-1"
"866","eL6-1"
"867","eL6-2"
"868","eL6-1"
"869","eL6-1"
"870","eL6-1"
"871","eL6-1"
"872","eL6-1"
"873","eL6-2"
"874","eL6-2"
"875","Astro"
"876","eL5-2"
"877","eL6-1"
"878","eL6-2"
"879","eL6-1"
"880","eL5-2"
"881","eL6-1"
"882","eL6-1"
"883","eL6-2"
"884","eL6-1"
"885","Smc"
"886","eL5-3"
"887","eL6-1"
"888","eL6-2"
"889","eL6-1"
"890","eL6-1"
"891","eL6-1"
"892","eL6-2"
"893","eL6-1"
"894","Oligo"
"895","Astro"
"896","eL6-1"
"897","eL6-1"
"898","eL6-2"
"899","NPY"
"900","eL6-1"
"901","eL6-1"
"902","eL6-1"
"903","eL6-1"
"904","L5-1"
"905","eL6-2"
"906","eL6-1"
"907","Astro"
"908","Oligo"
"909","Oligo"
"910","eL6-2"
"911","eL6-1"
"912","Astro"
"913","eL6-1"
"914","Oligo"
"915","NPY"
"916","eL6-1"
"917","eL5-2"
"918","Oligo"
"919","eL5-2"
"920","eL5-3"
"921","eL6-2"
"922","Astro"
"923","eL6-1"
"924","eL6-1"
"925","eL6-2"
"926","Astro"
"927","L5-1"
"928","Oligo"
"929","L5-1"
"930","eL6-1"
"931","eL6-1"
"932","Oligo"
"933","eL6-2"
"934","eL6-2"
"935","eL6-1"
"936","Oligo"
"937","eL6-1"
"938","eL6-1"
"939","Oligo"
"940","Astro"
"941","eL6-2"
"942","Astro"
"943","eL6-2"
"944","eL6-1"
"945","eL6-1"
"946","eL6-1"
"947","Astro"
"948","eL6-1"
"949","eL6-1"
"950","Astro"
"951","eL6-1"
"952","eL6-1"
"953","eL6-2"
"954","eL6-1"
"955","Astro"
"956","eL6-1"
"957","Oligo"
"958","eL6-1"
"959","eL6-1"
"960","Endo"
"961","eL6-2"
"962","Astro"
"963","L5-1"
"964","Smc"
"965","NPY"
"966","eL6-2"
"967","Smc"
"968","eL6-1"
"969","eL6-1"
"970","eL6-1"
"971","eL6-2"
"972","eL6-1"
"973","eL6-2"
"974","VIP"
"975","Smc"
"976","eL6-1"
"977","eL6-2"
"978","eL6-1"
"979","L5-1"
"980","eL6-2"
"981","eL6-2"
"982","eL6-1"
"983","eL6-2"
"984","eL6-1"
"985","eL6-2"
"986","L5-1"
"987","eL6-1"
"988","Astro"
"989","eL6-1"
"990","Smc"
"991","eL6-2"
"992","Smc"
"993","eL6-2"
"994","Smc"
"995","Smc"
"996","Oligo"
"997","eL6-1"
"998","Smc"
"999","Endo"
"1000","eL6-1"
"1001","L5-1"
"1002","eL6-1"
"1003","eL6-1"
"1004","SST"
"1005","eL6-1"
"1006","eL6-1"
"1007","eL5-3"
"1008","L5-1"
"1009","L5-1"
"1010","eL6-2"
"1011","Oligo"
"1012","eL5-2"
"1013","eL6-2"
"1014","Oligo"
"1015","Astro"
"1016","eL6-1"
"1017","Astro"
"1018","eL5-3"
"1019","SST"
"1020","Oligo"
"1021","Oligo"
"1022","Oligo"
"1023","eL6-1"
"1024","Oligo"
"1025","eL6-1"
"1026","eL6-1"
"1027","SST"
"1028","Oligo"
"1029","L5-1"
"1030","eL6-1"
"1031","eL6-2"
"1032","eL6-1"
"1033","eL6-1"
"1034","eL6-1"
"1035","Astro"
"1036","Oligo"
"1037","eL6-1"
"1038","eL6-2"
"1039","eL6-2"
"1040","Oligo"
"1041","Oligo"
"1042","L5-1"
"1043","Oligo"
"1044","eL6-1"
"1045","Astro"
"1046","L5-1"
"1047","eL5-3"
"1048","Oligo"
"1049","eL6-1"
"1050","eL5-3"
"1051","eL6-1"
"1052","eL6-2"
"1053","Smc"
"1054","eL5-2"
"1055","Endo"
"1056","eL6-2"
"1057","eL6-2"
"1058","Astro"
"1059","L5-1"
"1060","Oligo"
"1061","eL5-3"
"1062","eL5-3"
"1063","eL6-2"
"1064","eL6-2"
"1065","Astro"
"1066","eL6-1"
"1067","SST"
"1068","Oligo"
"1069","Astro"
"1070","Oligo"
"1071","Smc"
"1072","Smc"
"1073","Lhx6"
"1074","Oligo"
"1075","Oligo"
"1076","Smc"
"1077","Smc"
"1078","Oligo"
"1079","Oligo"
"1080","eL6-2"
"1081","eL6-1"
"1082","Astro"
"1083","Oligo"
"1084","Astro"
"1085","NPY"
"1086","Oligo"
"1087","NPY"
"1088","eL6-2"
